"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"11/1/2013","Rockville/Shady Grove","4 - 5 hr","Annual","1","0"
"11/1/2013","Rockville/Shady Grove","5 - 24 hr","24-hr Pass","0","0"
"11/1/2013","Rockville/Shady Grove","5 - 24 hr","Annual","1","0"
"11/1/2013","Washington, DC","<0.5 hr","24-hr Pass","16824","0"
"11/1/2013","Washington, DC","<0.5 hr","Annual","154261","192282"
"11/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","4024","0"
"11/1/2013","Washington, DC","0.5 - 1 hr","Annual","2002","0"
"11/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","1665","0"
"11/1/2013","Washington, DC","1 - 1.5 hr","Annual","195","0"
"11/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","828","0"
"11/1/2013","Washington, DC","1.5 - 2 hr","Annual","83","0"
"11/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","641","0"
"11/1/2013","Washington, DC","2 - 3 hr","Annual","52","0"
"11/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","166","0"
"11/1/2013","Washington, DC","3 - 4 hr","Annual","19","0"
"11/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","60","0"
"11/1/2013","Washington, DC","4 - 5 hr","Annual","11","0"
"11/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","68","0"
"11/1/2013","Washington, DC","5 - 24 hr","Annual","65","0"
"12/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","65","0"
"12/1/2013","Alexandria, VA","<0.5 hr","Annual","834","849"
"12/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","22","0"
"12/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","18","0"
"12/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","4","0"
"12/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","3","0"
"12/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","5","0"
"12/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","0","0"
"12/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","3","0"
"12/1/2013","Alexandria, VA","2 - 3 hr","Annual","0","0"
"12/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","0","0"
"12/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"12/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","0","0"
"12/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"12/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","3","0"
"12/1/2013","Alexandria, VA","5 - 24 hr","Annual","1","0"
"12/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","407","0"
"12/1/2013","Arlington, VA","<0.5 hr","Annual","8130","8312"
"12/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","112","0"
"12/1/2013","Arlington, VA","0.5 - 1 hr","Annual","145","0"
"12/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","39","0"
"12/1/2013","Arlington, VA","1 - 1.5 hr","Annual","8","0"
"12/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","19","0"
"12/1/2013","Arlington, VA","1.5 - 2 hr","Annual","0","0"
"12/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","18","0"
"12/1/2013","Arlington, VA","2 - 3 hr","Annual","2","0"
"12/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","5","0"
"12/1/2013","Arlington, VA","3 - 4 hr","Annual","0","0"
"12/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","0","0"
"12/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"12/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","7","0"
"12/1/2013","Arlington, VA","5 - 24 hr","Annual","3","0"
"12/1/2013","Rest of Montgomery County","<0.5 hr","24-hr Pass","71","0"
"12/1/2013","Rest of Montgomery County","<0.5 hr","Annual","815","1376"
"12/1/2013","Rest of Montgomery County","0.5 - 1 hr","24-hr Pass","35","0"
"12/1/2013","Rest of Montgomery County","0.5 - 1 hr","Annual","44","0"
"12/1/2013","Rest of Montgomery County","1 - 1.5 hr","24-hr Pass","23","0"
"12/1/2013","Rest of Montgomery County","1 - 1.5 hr","Annual","7","0"
"12/1/2013","Rest of Montgomery County","1.5 - 2 hr","24-hr Pass","10","0"
"12/1/2013","Rest of Montgomery County","1.5 - 2 hr","Annual","1","0"
"12/1/2013","Rest of Montgomery County","2 - 3 hr","24-hr Pass","13","0"
"12/1/2013","Rest of Montgomery County","2 - 3 hr","Annual","1","0"
"12/1/2013","Rest of Montgomery County","3 - 4 hr","24-hr Pass","1","0"
"12/1/2013","Rest of Montgomery County","3 - 4 hr","Annual","0","0"
"12/1/2013","Rest of Montgomery County","4 - 5 hr","24-hr Pass","0","0"
"12/1/2013","Rest of Montgomery County","4 - 5 hr","Annual","0","0"
"12/1/2013","Rest of Montgomery County","5 - 24 hr","24-hr Pass","2","0"
"12/1/2013","Rest of Montgomery County","5 - 24 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","<0.5 hr","24-hr Pass","23","0"
"12/1/2013","Rockville/Shady Grove","<0.5 hr","Annual","94","153"
"12/1/2013","Rockville/Shady Grove","0.5 - 1 hr","24-hr Pass","7","0"
"12/1/2013","Rockville/Shady Grove","0.5 - 1 hr","Annual","2","0"
"12/1/2013","Rockville/Shady Grove","1 - 1.5 hr","24-hr Pass","1","0"
"12/1/2013","Rockville/Shady Grove","1 - 1.5 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","1.5 - 2 hr","24-hr Pass","1","0"
"12/1/2013","Rockville/Shady Grove","1.5 - 2 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","2 - 3 hr","24-hr Pass","2","0"
"12/1/2013","Rockville/Shady Grove","2 - 3 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","3 - 4 hr","24-hr Pass","0","0"
"12/1/2013","Rockville/Shady Grove","3 - 4 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","4 - 5 hr","24-hr Pass","0","0"
"12/1/2013","Rockville/Shady Grove","4 - 5 hr","Annual","0","0"
"12/1/2013","Rockville/Shady Grove","5 - 24 hr","24-hr Pass","3","0"
"12/1/2013","Rockville/Shady Grove","5 - 24 hr","Annual","1","0"
"12/1/2013","Washington, DC","<0.5 hr","24-hr Pass","10079","0"
"12/1/2013","Washington, DC","<0.5 hr","Annual","114046","132706"
"12/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","2047","0"
"12/1/2013","Washington, DC","0.5 - 1 hr","Annual","1014","0"
"12/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","894","0"
"12/1/2013","Washington, DC","1 - 1.5 hr","Annual","116","0"
"12/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","476","0"
"12/1/2013","Washington, DC","1.5 - 2 hr","Annual","35","0"
"12/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","364","0"
"12/1/2013","Washington, DC","2 - 3 hr","Annual","28","0"
"12/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","75","0"
"12/1/2013","Washington, DC","3 - 4 hr","Annual","16","0"
"12/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","30","0"
"12/1/2013","Washington, DC","4 - 5 hr","Annual","6","0"
"12/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","30","0"
"12/1/2013","Washington, DC","5 - 24 hr","Annual","57","0"
"1/1/2014","Alexandria, VA","<0.5 hr","24-hr Pass","40","0"
"1/1/2014","Alexandria, VA","<0.5 hr","Annual","603","1036"
"1/1/2014","Alexandria, VA","0.5 - 1 hr","24-hr Pass","23","0"
"1/1/2014","Alexandria, VA","0.5 - 1 hr","Annual","11","0"
"1/1/2014","Alexandria, VA","1 - 1.5 hr","24-hr Pass","7","0"
"1/1/2014","Alexandria, VA","1 - 1.5 hr","Annual","1","0"
"1/1/2014","Alexandria, VA","1.5 - 2 hr","24-hr Pass","2","0"
"1/1/2014","Alexandria, VA","1.5 - 2 hr","Annual","0","0"
"1/1/2014","Alexandria, VA","2 - 3 hr","24-hr Pass","0","0"
"1/1/2014","Alexandria, VA","2 - 3 hr","Annual","0","0"
"1/1/2014","Alexandria, VA","3 - 4 hr","24-hr Pass","2","0"
