"Year","Month","Station Name","Municipality","Departures","Arrivals"
"2014","Jul","12th & L St NW","Washington, DC","1753","1723"
"2014","Jul","21st St & Pennsylvania Ave NW","Washington, DC","1235","1278"
"2014","Jul","19th & K St NW","Washington, DC","1107","1064"
"2014","Jul","15th & K St NW","Washington, DC","1794","1899"
"2014","Jul","24th & N St NW","Washington, DC","1509","1691"
"2014","Jul","10th & E St NW","Washington, DC","1756","1920"
"2014","Jul","22nd & I St NW / Foggy Bottom","Washington, DC","2865","2856"
"2014","Jul","Lincoln Memorial","Washington, DC","7877","7774"
"2014","Jul","20th St & Virginia Ave NW","Washington, DC","528","597"
"2014","Jul","23rd & E St NW","Washington, DC","1251","1303"
"2014","Jul","21st St & Constitution Ave NW","Washington, DC","1856","1734"
"2014","Jul","11th & F St NW","Washington, DC","1518","1441"
"2014","Jul","11th & K St NW","Washington, DC","2157","2107"
"2014","Jul","6th St & Indiana Ave NW","Washington, DC","1790","2009"
"2014","Jul","5th St & Massachusetts Ave NW","Washington, DC","2757","2840"
"2014","Jul","11th & M St NW","Washington, DC","2758","2665"
"2014","Jul","17th St & Massachusetts Ave NW","Washington, DC","1856","1779"
"2014","Jul","13th & U St NW","Washington, DC","2522","2697"
"2014","Jul","3rd St & Pennsylvania Ave SE","Washington, DC","2008","1792"
"2014","Jul","8th & D St NW","Washington, DC","1937","2141"
"2014","Jul","Constitution Ave & 2nd St NW/DOL","Washington, DC","3062","3278"
"2014","Jul","Washington & Independence Ave SW/HHS","Washington, DC","2411","2635"
"2014","Jul","Hains Point/Buckeye & Ohio Dr SW","Washington, DC","738","746"
"2014","Jul","Van Ness Metro / UDC","Washington, DC","747","648"
"2014","Jul","Ward Circle / American University","Washington, DC","513","303"
"2014","Jul","Idaho Ave & Newark St NW [on 2nd District patio]","Washington, DC","548","301"
"2014","Jul","Tenleytown / Wisconsin Ave & Albemarle St NW","Washington, DC","891","451"
"2014","Jul","36th & Calvert St NW / Glover Park","Washington, DC","637","431"
"2014","Jul","Connecticut Ave & Newark St NW / Cleveland Park","Washington, DC","773","623"
"2014","Jul","39th & Calvert St NW / Stoddert","Washington, DC","956","385"
"2014","Jul","3000 Connecticut Ave NW / National Zoo","Washington, DC","911","628"
"2014","Jul","39th & Veazey St NW","Washington, DC","464","269"
"2014","Jul","Fessenden St & Wisconsin Ave NW","Washington, DC","156","129"
"2014","Jul","Connecticut & Nebraska Ave NW","Washington, DC","642","453"
"2014","Jul","Wisconsin Ave & O St NW","Washington, DC","1268","1379"
"2014","Jul","Connecticut Ave & Tilden St NW","Washington, DC","447","305"
"2014","Jul","Georgia & New Hampshire Ave NW","Washington, DC","1401","1068"
"2014","Jul","14th St & Spring Rd NW","Washington, DC","775","605"
"2014","Jul","14th St Heights / 14th & Crittenden St NW","Washington, DC","210","161"
"2014","Jul","5th & Kennedy St NW","Washington, DC","160","167"
"2014","Jul","9th & Upshur St NW","Washington, DC","660","481"
"2014","Jul","Georgia Ave & Emerson St NW","Washington, DC","239","155"
"2014","Jul","14th & Upshur St NW","Washington, DC","444","304"
"2014","Jul","14th St & Colorado Ave NW","Washington, DC","359","204"
"2014","Jul","Takoma Metro","Washington, DC","548","418"
"2014","Jul","12th & Newton St NE","Washington, DC","173","157"
"2014","Jul","John McCormack Dr & Michigan Ave NE","Washington, DC","289","215"
"2014","Jul","Florida Ave & R St NW","Washington, DC","1414","1525"
"2014","Jul","10th & Monroe St NE","Washington, DC","386","301"
"2014","Jul","Eckington Pl & Q St NE","Washington, DC","925","905"
"2014","Jul","1st & Rhode Island Ave NW","Washington, DC","1595","1687"
"2014","Jul","1st & Washington Hospital Center NW","Washington, DC","361","300"
"2014","Jul","Gallaudet / 8th St & Florida Ave NE","Washington, DC","777","745"
"2014","Jul","New Jersey Ave & R St NW","Washington, DC","1058","1157"
"2014","Jul","18th St & Rhode Island Ave NE","Washington, DC","71","68"
"2014","Jul","12th & Irving St NE","Washington, DC","182","165"
"2014","Jul","Neal St & Trinidad Ave NE","Washington, DC","516","457"
"2014","Jul","Rhode Island Ave & V St NE","Washington, DC","599","314"
"2014","Jul","Hamlin & 7th St NE","Washington, DC","218","188"
"2014","Jul","Fort Totten Metro","Washington, DC","118","113"
"2014","Jul","Rhode Island Ave Metro","Washington, DC","210","206"
"2014","Jul","5th & K St NW","Washington, DC","2773","2926"
"2014","Jul","19th & East Capitol St SE","Washington, DC","600","643"
"2014","Jul","Park Rd & Holmead Pl NW","Washington, DC","2479","1861"
"2014","Jul","1st & M St NE","Washington, DC","2469","2557"
"2014","Jul","3rd & D St SE","Washington, DC","1684","1638"
"2014","Jul","Potomac & Pennsylvania Ave SE","Washington, DC","1181","1176"
"2014","Jul","14th & D St SE","Washington, DC","1141","1159"
"2014","Jul","8th & Eye St SE / Barracks Row","Washington, DC","763","786"
"2014","Jul","Eastern Market / 7th & North Carolina Ave SE","Washington, DC","1849","1708"
"2014","Jul","13th & H St NE","Washington, DC","1604","1797"
"2014","Jul","D St & Maryland Ave NE","Washington, DC","1827","1856"
"2014","Jul","Eastern Market Metro / Pennsylvania Ave & 7th St SE","Washington, DC","3762","3648"
"2014","Jul","11th & H St NE","Washington, DC","1123","1407"
"2014","Jul","6th & H St NE","Washington, DC","1104","1253"
"2014","Jul","3rd & H St NE","Washington, DC","2460","2677"
"2014","Jul","Bladensburg Rd & Benning Rd NE","Washington, DC","622","693"
"2014","Jul","4th & East Capitol St NE","Washington, DC","1801","1796"
"2014","Jul","Lincoln Park / 13th & East Capitol St NE ","Washington, DC","1989","1948"
"2014","Jul","5th & F St NW","Washington, DC","1568","1641"
"2014","Jul","4th & D St NW / Judiciary Square","Washington, DC","853","776"
"2014","Jul","13th & D St NE","Washington, DC","1621","1638"
"2014","Jul","Columbus Circle / Union Station","Washington, DC","6883","6662"
"2014","Jul","North Capitol St & F St NW","Washington, DC","2905","3024"
"2014","Jul","3rd & G St SE","Washington, DC","1134","1107"
"2014","Jul","15th St & Massachusetts Ave SE","Washington, DC","1002","998"
"2014","Jul","M St & Delaware Ave NE","Washington, DC","1537","1527"
"2014","Jul","1st & K St SE","Washington, DC","1743","1941"
"2014","Jul","8th & East Capitol St NE","Washington, DC","1033","971"
"2014","Jul","15th & East Capitol St NE","Washington, DC","930","876"
"2014","Jul","8th & F St NE","Washington, DC","1300","1469"
"2014","Jul","15th & F St NE","Washington, DC","756","820"
"2014","Jul","Independence Ave & L'Enfant Plaza SW/DOE","Washington, DC","980","1025"
"2014","Jul","3rd & Tingey St SE","Washington, DC","976","1095"
"2014","Jul","Potomac Ave & 8th St SE","Washington, DC","238","278"
"2014","Jul","New Jersey Ave & N St NW/Dunbar HS","Washington, DC","879","775"
"2014","Jul","North Capitol St & G Pl NE","Washington, DC","952","872"
"2014","Jul","1st & H St NW","Washington, DC","770","721"
"2014","Jul","Good Hope & Naylor Rd SE","Washington, DC","36","17"
"2014","Jul","Branch & Pennsylvania Ave SE","Washington, DC","17","13"
"2014","Jul","Randle Circle & Minnesota Ave SE","Washington, DC","9","11"
"2014","Jul","Minnesota Ave Metro/DOES","Washington, DC","66","52"
"2014","Jul","Nannie Helen Burroughs & Minnesota Ave NE","Washington, DC","22","29"
"2014","Jul","Benning Branch Library","Washington, DC","52","49"
"2014","Jul","Fairfax Village","Washington, DC","15","6"
"2014","Jul","Benning Rd & East Capitol St NE / Benning Rd Metro","Washington, DC","97","75"
"2014","Jul","Anacostia Ave & Benning Rd NE / River Terrace","Washington, DC","180","175"
"2014","Jul","34th St & Minnesota Ave SE","Washington, DC","6","4"
"2014","Jul","Nannie Helen Burroughs Ave & 49th St NE","Washington, DC","21","25"
"2014","Jul","Deanwood Rec Center","Washington, DC","55","49"
"2014","Jul","Alabama & MLK Ave SE","Washington, DC","12","10"
"2014","Jul","Anacostia Metro","Washington, DC","98","123"
"2014","Jul","Good Hope Rd & MLK Ave SE","Washington, DC","93","99"
"2014","Jul","Good Hope Rd & 14th St SE","Washington, DC","61","57"
"2014","Jul","Anacostia Library","Washington, DC","40","38"
"2014","Jul","Pennsylvania & Minnesota Ave SE","Washington, DC","65","101"
"2014","Jul","Congress Heights Metro","Washington, DC","14","12"
"2014","Jul","Pleasant St & MLK Ave SE","Washington, DC","13","25"
"2014","Jul","Norfolk Ave & Fairmont St","Rest of Montgomery County","137","113"
"2014","Jul","Fenton St & New York Ave","Rest of Montgomery County","75","47"
"2014","Jul","Bethesda Ave & Arlington Blvd","Rest of Montgomery County","244","285"
"2014","Jul","Montgomery Ave & Waverly St ","Rest of Montgomery County","63","46"
"2014","Jul","Fallsgrove Blvd & Fallsgrove Dr","Rockville/Shady Grove","47","46"
"2014","Jul","Traville Gateway Dr & Gudelsky Dr","Rockville/Shady Grove","18","17"
"2014","Jul","13th St & Eastern Ave","Rest of Montgomery County","94","69"
"2014","Jul","E Montgomery Ave & Maryland Ave","Rockville/Shady Grove","56","53"
"2014","Jul","Cordell & Norfolk Ave","Rest of Montgomery County","153","168"
"2014","Jul","Frederick Ave & Horners Ln","Rockville/Shady Grove","26","18"
"2014","Jul","Philadelphia & Maple Ave","Rest of Montgomery County","99","150"
"2014","Jul","Maple & Ritchie Ave","Rest of Montgomery County","116","209"
"2014","Jul","Silver Spring Metro/Colesville Rd & Wayne Ave","Rest of Montgomery County","83","92"
"2014","Jul","Montgomery & East Ln","Rest of Montgomery County","155","129"
"2014","Jul","Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir","Rest of Montgomery County","230","252"
"2014","Jul","Crabbs Branch Way & Redland Rd","Rockville/Shady Grove","8","9"
"2014","Jul","Monroe St & Monroe Pl","Rockville/Shady Grove","30","31"
"2014","Jul","Needwood Rd & Eagles Head Ct","Rockville/Shady Grove","20","19"
"2014","Jul","East West Hwy & Blair Mill Rd","Rest of Montgomery County","113","87"
"2014","Jul","Crabbs Branch Way & Calhoun Pl","Rockville/Shady Grove","51","72"
"2014","Jul","47th & Elm St","Rest of Montgomery County","156","125"
"2014","Jul","Garland Ave & Walden Rd","Rest of Montgomery County","25","31"
"2014","Jul","Montgomery College/W Campus Dr & Mannakee St","Rockville/Shady Grove","18","21"
"2014","Jul","Fenton St & Gist Ave","Rest of Montgomery County","101","63"
"2014","Jul","Carroll & Westmoreland Ave","Rest of Montgomery County","164","122"
"2014","Jul","Carroll & Ethan Allen Ave","Rest of Montgomery County","227","204"
"2014","Jul","Battery Ln & Trolley Trail","Rest of Montgomery County","186","194"
"2014","Jul","Norfolk & Rugby Ave","Rest of Montgomery County","132","87"
"2014","Jul","Offutt Ln & Chevy Chase Dr","Rest of Montgomery County","151","152"
"2014","Jul","Broschart & Blackwell Rd","Rockville/Shady Grove","5","5"
"2014","Jul","Taft St & E Gude Dr","Rockville/Shady Grove","9","13"
"2014","Jul","Fleet St & Ritchie Pkwy","Rockville/Shady Grove","27","37"
"2014","Jul","Piccard & W Gude Dr","Rockville/Shady Grove","31","46"
"2014","Jul","Ripley & Bonifant St","Rest of Montgomery County","65","69"
"2014","Jul","Georgia Ave & Spring St","Rest of Montgomery County","79","50"
"2014","Jul","Fenton St & Ellsworth Dr ","Rest of Montgomery County","107","109"
"2014","Jul","King Farm Blvd & Pleasant Dr","Rockville/Shady Grove","178","193"
"2014","Jul","King Farm Blvd & Piccard Dr","Rockville/Shady Grove","111","130"
"2014","Jul","Old Georgetown Rd & Southwick St","Rest of Montgomery County","105","77"
"2014","Jul","Friendship Blvd & Willard Ave","Rest of Montgomery County","127","71"
"2014","Jul","Medical Center Dr & Key West Ave","Rockville/Shady Grove","18","19"
"2014","Jul","Shady Grove Hospital","Rockville/Shady Grove","5","4"
"2014","Jul","Veterans Pl & Pershing Dr ","Rest of Montgomery County","38","25"
"2014","Jul","Rockville Metro East","Rockville/Shady Grove","48","46"
"2014","Jul","Shady Grove Metro West","Rockville/Shady Grove","187","123"
"2014","Jul","River Rd & Landy Ln","Rest of Montgomery County","217","210"
"2014","Jul","Rockville Metro West","Rockville/Shady Grove","39","26"
"2014","Jul","Bethesda Metro","Rest of Montgomery County","379","254"
